n,t,v
52267,1742.2333333333333,8174
52268,1742.2666666666667,8175
52269,1742.3,8176
52270,1742.3333333333333,8177
52271,1742.3666666666668,8179
52272,1742.4,8180
52273,1742.4333333333332,8181
52274,1742.4666666666667,8182
52275,1742.5,8183
52276,1742.5333333333333,8184
52277,1742.5666666666668,8185
52278,1742.6,8186
52279,1742.6333333333332,8187
52280,1742.6666666666667,8188
52281,1742.7,8190
52282,1742.7333333333333,8191
52283,1742.7666666666667,8192
52284,1742.8,8193
52285,1742.8333333333333,8194
52286,1742.8666666666668,8195
52287,1742.9,8196
52288,1742.9333333333332,8197
52289,1742.9666666666667,8199
52290,1743.0,8200
52291,1743.0333333333333,8201
52292,1743.0666666666668,8202
52293,1743.1,8204
52294,1743.1333333333332,8205
52295,1743.1666666666667,8206
52296,1743.2,8207
52297,1743.2333333333333,8208
52298,1743.2666666666667,8210
52299,1743.3,8211
52300,1743.3333333333333,8212
52301,1743.3666666666668,8213
52302,1743.4,8214
52303,1743.4333333333332,8215
52304,1743.4666666666667,8216
52305,1743.5,8217
52306,1743.5333333333333,8218
52307,1743.5666666666668,8220
52308,1743.6,8221
52309,1743.6333333333332,8222
52310,1743.6666666666667,8223
52311,1743.7,8224
52312,1743.7333333333333,8225
52313,1743.7666666666667,8226
52314,1743.8,8227
52315,1743.8333333333333,8228
52316,1743.8666666666668,8230
52317,1743.9,8231
52318,1743.9333333333332,8233
52319,1743.9666666666667,8234
52320,1744.0,8235
52321,1744.0333333333333,8236
52322,1744.0666666666668,8237
52323,1744.1,8239
52324,1744.1333333333332,8240
52325,1744.1666666666667,8241
52326,1744.2,8243
52327,1744.2333333333333,8244
52328,1744.2666666666667,8245
52329,1744.3,8246
52330,1744.3333333333333,8248
52331,1744.3666666666668,8249
52332,1744.4,8250
52333,1744.4333333333332,8251
52334,1744.4666666666667,8252
52335,1744.5,8254
52336,1744.5333333333333,8255
52337,1744.5666666666668,8256
52338,1744.6,8257
52339,1744.6333333333332,8258
52340,1744.6666666666667,8259
52341,1744.7,8260
52342,1744.7333333333333,8260
52343,1744.7666666666667,8262
52344,1744.8,8263
52345,1744.8333333333333,8264
52346,1744.8666666666668,8265
52347,1744.9,8266
52348,1744.9333333333332,8268
52349,1744.9666666666667,8268
52350,1745.0,8269
52351,1745.0333333333333,8270
52352,1745.0666666666668,8272
52353,1745.1,8273
52354,1745.1333333333332,8274
52355,1745.1666666666667,8275
52356,1745.2,8277
52357,1745.2333333333333,8278
52358,1745.2666666666667,8279
52359,1745.3,8280
52360,1745.3333333333333,8281
52361,1745.3666666666668,8282
52362,1745.4,8284
52363,1745.4333333333332,8285
52364,1745.4666666666667,8287
52365,1745.5,8288
52366,1745.5333333333333,8289
52367,1745.5666666666668,8290
52368,1745.6,8291
52369,1745.6333333333332,8292
52370,1745.6666666666667,8294
52371,1745.7,8295
52372,1745.7333333333333,8296
52373,1745.7666666666667,8297
52374,1745.8,8298
52375,1745.8333333333333,8299
52376,1745.8666666666668,8300
52377,1745.9,8301
52378,1745.9333333333332,8302
52379,1745.9666666666667,8304
52380,1746.0,8305
52381,1746.0333333333333,8306
52382,1746.0666666666668,8308
52383,1746.1,8309
52384,1746.1333333333332,8310
52385,1746.1666666666667,8311
52386,1746.2,8312
52387,1746.2333333333333,8314
52388,1746.2666666666667,8315
52389,1746.3,8316
52390,1746.3333333333333,8318
52391,1746.3666666666668,8319
52392,1746.4,8320
52393,1746.4333333333332,8321
52394,1746.4666666666667,8322
52395,1746.5,8323
52396,1746.5333333333333,8324
52397,1746.5666666666668,8325
52398,1746.6,8327
52399,1746.6333333333332,8328
52400,1746.6666666666667,8329
52401,1746.7,8330
52402,1746.7333333333333,8332
