n,t,h
41795,1393.1666666666667,2
41796,1393.2,2
41797,1393.2333333333333,2
41798,1393.2666666666667,2
41799,1393.3,2
41800,1393.3333333333333,2
41801,1393.3666666666668,2
41802,1393.4,2
41803,1393.4333333333332,2
41804,1393.4666666666667,2
41805,1393.5,2
41806,1393.5333333333333,2
41807,1393.5666666666668,2
41808,1393.6,2
41809,1393.6333333333332,2
41810,1393.6666666666667,2
41811,1393.7,2
41812,1393.7333333333333,2
41813,1393.7666666666667,2
41814,1393.8,2
41815,1393.8333333333333,2
41816,1393.8666666666668,2
41817,1393.9,2
41818,1393.9333333333332,2
41819,1393.9666666666667,2
41820,1394.0,2
41821,1394.0333333333333,2
41822,1394.0666666666668,2
41823,1394.1,2
41824,1394.1333333333332,2
41825,1394.1666666666667,2
41826,1394.2,2
41827,1394.2333333333333,2
41828,1394.2666666666667,2
41829,1394.3,2
41830,1394.3333333333333,2
41831,1394.3666666666668,2
41832,1394.4,2
41833,1394.4333333333332,2
41834,1394.4666666666667,2
41835,1394.5,2
41836,1394.5333333333333,2
41837,1394.5666666666668,2
41838,1394.6,2
41839,1394.6333333333332,2
41840,1394.6666666666667,2
41841,1394.7,2
41842,1394.7333333333333,2
41843,1394.7666666666667,2
41844,1394.8,2
41845,1394.8333333333333,2
41846,1394.8666666666668,2
41847,1394.9,2
41848,1394.9333333333332,2
41849,1394.9666666666667,2
41850,1395.0,2
41851,1395.0333333333333,2
41852,1395.0666666666668,2
41853,1395.1,2
41854,1395.1333333333332,2
41855,1395.1666666666667,2
41856,1395.2,2
41857,1395.2333333333333,2
41858,1395.2666666666667,2
41859,1395.3,2
41860,1395.3333333333333,2
41861,1395.3666666666668,2
41862,1395.4,2
41863,1395.4333333333332,2
41864,1395.4666666666667,2
41865,1395.5,2
41866,1395.5333333333333,2
41867,1395.5666666666668,2
41868,1395.6,2
41869,1395.6333333333332,2
41870,1395.6666666666667,2
41871,1395.7,2
41872,1395.7333333333333,2
41873,1395.7666666666667,3
41874,1395.8,3
41875,1395.8333333333333,3
41876,1395.8666666666668,3
41877,1395.9,3
41878,1395.9333333333332,3
41879,1395.9666666666667,3
41880,1396.0,3
41881,1396.0333333333333,3
41882,1396.0666666666668,3
41883,1396.1,3
41884,1396.1333333333332,3
41885,1396.1666666666667,3
41886,1396.2,3
41887,1396.2333333333333,3
41888,1396.2666666666667,3
41889,1396.3,3
41890,1396.3333333333333,3
41891,1396.3666666666668,3
41892,1396.4,3
41893,1396.4333333333332,3
41894,1396.4666666666667,3
41895,1396.5,3
41896,1396.5333333333333,3
41897,1396.5666666666668,3
41898,1396.6,3
41899,1396.6333333333332,3
41900,1396.6666666666667,3
41901,1396.7,3
41902,1396.7333333333333,3
41903,1396.7666666666667,3
41904,1396.8,3
41905,1396.8333333333333,3
41906,1396.8666666666668,3
41907,1396.9,3
41908,1396.9333333333332,3
41909,1396.9666666666667,3
41910,1397.0,3
41911,1397.0333333333333,3
41912,1397.0666666666668,3
41913,1397.1,3
41914,1397.1333333333332,3
41915,1397.1666666666667,3
41916,1397.2,3
41917,1397.2333333333333,3
41918,1397.2666666666667,3
41919,1397.3,3
41920,1397.3333333333333,3
41921,1397.3666666666668,3
41922,1397.4,3
41923,1397.4333333333332,3
41924,1397.4666666666667,3
41925,1397.5,3
41926,1397.5333333333333,3
41927,1397.5666666666668,3
41928,1397.6,3
41929,1397.6333333333332,3
41930,1397.6666666666667,3
41931,1397.7,3
41932,1397.7333333333333,3
41933,1397.7666666666667,3
41934,1397.8,3
41935,1397.8333333333333,3
41936,1397.8666666666668,3
41937,1397.9,3
41938,1397.9333333333332,3
41939,1397.9666666666667,3
41940,1398.0,3
41941,1398.0333333333333,3
41942,1398.0666666666668,3
41943,1398.1,4
41944,1398.1333333333332,4
41945,1398.1666666666667,4
41946,1398.2,4
41947,1398.2333333333333,4
41948,1398.2666666666667,4
41949,1398.3,4
41950,1398.3333333333333,4
41951,1398.3666666666668,4
41952,1398.4,4
41953,1398.4333333333332,4
41954,1398.4666666666667,4
41955,1398.5,4
41956,1398.5333333333333,4
41957,1398.5666666666668,4
41958,1398.6,4
41959,1398.6333333333332,4
41960,1398.6666666666667,4
41961,1398.7,4
41962,1398.7333333333333,4
41963,1398.7666666666667,4
41964,1398.8,4
41965,1398.8333333333333,4
41966,1398.8666666666668,4
41967,1398.9,4
41968,1398.9333333333332,4
41969,1398.9666666666667,4
41970,1399.0,4
41971,1399.0333333333333,4
41972,1399.0666666666668,4
41973,1399.1,4
41974,1399.1333333333332,4
41975,1399.1666666666667,4
41976,1399.2,4
41977,1399.2333333333333,4
41978,1399.2666666666667,4
41979,1399.3,4
41980,1399.3333333333333,4
41981,1399.3666666666668,4
41982,1399.4,4
41983,1399.4333333333332,4
41984,1399.4666666666667,4
41985,1399.5,4
41986,1399.5333333333333,4
41987,1399.5666666666668,4
41988,1399.6,4
41989,1399.6333333333332,4
41990,1399.6666666666667,4
41991,1399.7,4
41992,1399.7333333333333,4
41993,1399.7666666666667,4
41994,1399.8,4
41995,1399.8333333333333,4
41996,1399.8666666666668,4
41997,1399.9,4
41998,1399.9333333333332,4
41999,1399.9666666666667,4
42000,1400.0,5
42001,1400.0333333333333,5
42002,1400.0666666666668,5
42003,1400.1,5
42004,1400.1333333333332,5
42005,1400.1666666666667,5
42006,1400.2,5
42007,1400.2333333333333,5
42008,1400.2666666666667,5
42009,1400.3,5
42010,1400.3333333333333,5
42011,1400.3666666666668,5
42012,1400.4,5
42013,1400.4333333333332,5
42014,1400.4666666666667,5
42015,1400.5,5
42016,1400.5333333333333,5
42017,1400.5666666666668,5
42018,1400.6,5
42019,1400.6333333333332,5
42020,1400.6666666666667,5
42021,1400.7,5
42022,1400.7333333333333,5
42023,1400.7666666666667,5
42024,1400.8,5
42025,1400.8333333333333,5
42026,1400.8666666666668,5
42027,1400.9,5
42028,1400.9333333333332,5
42029,1400.9666666666667,5
42030,1401.0,5
42031,1401.0333333333333,5
42032,1401.0666666666668,5
42033,1401.1,5
42034,1401.1333333333332,5
42035,1401.1666666666667,5
42036,1401.2,5
42037,1401.2333333333333,5
42038,1401.2666666666667,5
42039,1401.3,5
42040,1401.3333333333333,5
42041,1401.3666666666668,5
42042,1401.4,5
42043,1401.4333333333332,5
42044,1401.4666666666667,5
42045,1401.5,5
42046,1401.5333333333333,5
42047,1401.5666666666668,5
42048,1401.6,5
42049,1401.6333333333332,5
42050,1401.6666666666667,5
42051,1401.7,5
42052,1401.7333333333333,5
42053,1401.7666666666667,5
42054,1401.8,6
42055,1401.8333333333333,6
42056,1401.8666666666668,6
42057,1401.9,6
42058,1401.9333333333332,6
42059,1401.9666666666667,6
42060,1402.0,6
42061,1402.0333333333333,6
42062,1402.0666666666668,6
42063,1402.1,6
42064,1402.1333333333332,6
42065,1402.1666666666667,6
42066,1402.2,6
42067,1402.2333333333333,6
42068,1402.2666666666667,6
42069,1402.3,6
42070,1402.3333333333333,6
42071,1402.3666666666668,6
42072,1402.4,6
42073,1402.4333333333332,6
42074,1402.4666666666667,6
42075,1402.5,6
42076,1402.5333333333333,6
42077,1402.5666666666668,6
42078,1402.6,6
42079,1402.6333333333332,6
42080,1402.6666666666667,6
42081,1402.7,6
42082,1402.7333333333333,6
42083,1402.7666666666667,6
42084,1402.8,6
42085,1402.8333333333333,6
42086,1402.8666666666668,6
42087,1402.9,6
42088,1402.9333333333332,6
42089,1402.9666666666667,6
42090,1403.0,6
42091,1403.0333333333333,6
42092,1403.0666666666668,6
42093,1403.1,6
42094,1403.1333333333332,6
42095,1403.1666666666667,6
42096,1403.2,6
42097,1403.2333333333333,6
42098,1403.2666666666667,6
42099,1403.3,6
42100,1403.3333333333333,6
42101,1403.3666666666668,6
42102,1403.4,7
42103,1403.4333333333332,7
42104,1403.4666666666667,7
42105,1403.5,7
42106,1403.5333333333333,7
42107,1403.5666666666668,7
42108,1403.6,7
42109,1403.6333333333332,7
42110,1403.6666666666667,7
42111,1403.7,7
42112,1403.7333333333333,7
42113,1403.7666666666667,7
42114,1403.8,7
42115,1403.8333333333333,7
42116,1403.8666666666668,7
42117,1403.9,7
42118,1403.9333333333332,7
42119,1403.9666666666667,7
42120,1404.0,7
42121,1404.0333333333333,7
42122,1404.0666666666668,7
42123,1404.1,7
42124,1404.1333333333332,7
42125,1404.1666666666667,7
42126,1404.2,7
42127,1404.2333333333333,7
42128,1404.2666666666667,7
42129,1404.3,7
42130,1404.3333333333333,7
42131,1404.3666666666668,7
42132,1404.4,7
42133,1404.4333333333332,7
42134,1404.4666666666667,7
42135,1404.5,7
42136,1404.5333333333333,7
42137,1404.5666666666668,7
42138,1404.6,7
42139,1404.6333333333332,7
42140,1404.6666666666667,7
42141,1404.7,7
42142,1404.7333333333333,7
42143,1404.7666666666667,7
42144,1404.8,7
42145,1404.8333333333333,7
42146,1404.8666666666668,7
42147,1404.9,8
42148,1404.9333333333332,8
42149,1404.9666666666667,8
42150,1405.0,8
42151,1405.0333333333333,8
42152,1405.0666666666668,8
42153,1405.1,8
42154,1405.1333333333332,8
42155,1405.1666666666667,8
42156,1405.2,8
42157,1405.2333333333333,8
42158,1405.2666666666667,8
42159,1405.3,8
42160,1405.3333333333333,8
42161,1405.3666666666668,8
42162,1405.4,8
42163,1405.4333333333332,8
42164,1405.4666666666667,8
42165,1405.5,8
42166,1405.5333333333333,8
42167,1405.5666666666668,8
42168,1405.6,8
42169,1405.6333333333332,8
42170,1405.6666666666667,8
42171,1405.7,8
42172,1405.7333333333333,8
42173,1405.7666666666667,8
42174,1405.8,8
42175,1405.8333333333333,8
42176,1405.8666666666668,8
42177,1405.9,8
42178,1405.9333333333332,8
42179,1405.9666666666667,8
42180,1406.0,8
42181,1406.0333333333333,8
42182,1406.0666666666668,8
42183,1406.1,8
42184,1406.1333333333332,9
42185,1406.1666666666667,9
42186,1406.2,9
42187,1406.2333333333333,9
42188,1406.2666666666667,9
42189,1406.3,9
42190,1406.3333333333333,9
42191,1406.3666666666668,9
42192,1406.4,9
42193,1406.4333333333332,9
42194,1406.4666666666667,9
42195,1406.5,9
42196,1406.5333333333333,9
42197,1406.5666666666668,9
42198,1406.6,9
42199,1406.6333333333332,9
42200,1406.6666666666667,9
42201,1406.7,9
42202,1406.7333333333333,9
42203,1406.7666666666667,9
42204,1406.8,9
42205,1406.8333333333333,9
42206,1406.8666666666668,9
42207,1406.9,9
42208,1406.9333333333332,9
42209,1406.9666666666667,9
42210,1407.0,9
42211,1407.0333333333333,9
42212,1407.0666666666668,9
42213,1407.1,9
42214,1407.1333333333332,9
42215,1407.1666666666667,9
42216,1407.2,9
42217,1407.2333333333333,9
42218,1407.2666666666667,9
42219,1407.3,9
42220,1407.3333333333333,9
42221,1407.3666666666668,10
42222,1407.4,10
42223,1407.4333333333332,10
42224,1407.4666666666667,10
42225,1407.5,10
42226,1407.5333333333333,10
42227,1407.5666666666668,10
42228,1407.6,10
42229,1407.6333333333332,10
42230,1407.6666666666667,10
42231,1407.7,10
42232,1407.7333333333333,10
42233,1407.7666666666667,10
42234,1407.8,10
42235,1407.8333333333333,10
42236,1407.8666666666668,10
42237,1407.9,10
42238,1407.9333333333332,10
42239,1407.9666666666667,10
42240,1408.0,10
42241,1408.0333333333333,10
42242,1408.0666666666668,10
42243,1408.1,10
42244,1408.1333333333332,10
42245,1408.1666666666667,10
42246,1408.2,10
42247,1408.2333333333333,10
42248,1408.2666666666667,10
42249,1408.3,10
42250,1408.3333333333333,10
42251,1408.3666666666668,10
42252,1408.4,10
42253,1408.4333333333332,10
42254,1408.4666666666667,11
42255,1408.5,11
42256,1408.5333333333333,11
42257,1408.5666666666668,11
42258,1408.6,11
42259,1408.6333333333332,11
42260,1408.6666666666667,11
42261,1408.7,11
42262,1408.7333333333333,11
42263,1408.7666666666667,11
42264,1408.8,11
42265,1408.8333333333333,11
42266,1408.8666666666668,11
42267,1408.9,11
42268,1408.9333333333332,11
42269,1408.9666666666667,11
42270,1409.0,11
42271,1409.0333333333333,11
42272,1409.0666666666668,11
42273,1409.1,11
42274,1409.1333333333332,11
42275,1409.1666666666667,11
42276,1409.2,11
42277,1409.2333333333333,11
42278,1409.2666666666667,11
42279,1409.3,11
42280,1409.3333333333333,11
42281,1409.3666666666668,11
42282,1409.4,11
42283,1409.4333333333332,11
42284,1409.4666666666667,11
42285,1409.5,11
42286,1409.5333333333333,12
42287,1409.5666666666668,12
42288,1409.6,12
42289,1409.6333333333332,12
42290,1409.6666666666667,12
42291,1409.7,12
42292,1409.7333333333333,12
42293,1409.7666666666667,12
42294,1409.8,12
42295,1409.8333333333333,12
42296,1409.8666666666668,12
42297,1409.9,12
42298,1409.9333333333332,12
42299,1409.9666666666667,12
42300,1410.0,12
42301,1410.0333333333333,12
42302,1410.0666666666668,12
42303,1410.1,12
42304,1410.1333333333332,12
42305,1410.1666666666667,12
42306,1410.2,12
42307,1410.2333333333333,12
42308,1410.2666666666667,12
42309,1410.3,12
42310,1410.3333333333333,12
42311,1410.3666666666668,12
42312,1410.4,12
42313,1410.4333333333332,12
42314,1410.4666666666667,12
42315,1410.5,12
42316,1410.5333333333333,12
42317,1410.5666666666668,12
42318,1410.6,13
42319,1410.6333333333332,13
42320,1410.6666666666667,13
42321,1410.7,13
42322,1410.7333333333333,13
42323,1410.7666666666667,13
42324,1410.8,13
42325,1410.8333333333333,13
42326,1410.8666666666668,13
42327,1410.9,13
